date gauge radar
2011110100 0.00 0.00
2011110101 0.00 0.00
2011110102 0.00 0.00
2011110103 0.00 0.00
2011110104 0.00 0.00
2011110105 0.00 0.00
2011110106 0.00 0.00
2011110107 0.00 0.00
2011110108 0.00 0.00
2011110109 0.00 0.00
2011110110 0.00 0.00
2011110111 0.00 0.00
2011110112 0.00 0.00
2011110113 0.00 0.00
2011110114 0.00 0.00
2011110115 0.00 0.00
2011110116 0.00 0.00
2011110117 0.00 0.00
2011110118 0.00 0.00
2011110119 0.00 0.00
2011110120 0.00 0.00
2011110121 0.27 0.28
2011110122 0.22 0.25
2011110123 0.00 0.00
2011110200 0.00 0.00
2011110201 0.00 0.00
2011110202 0.00 0.00
2011110203 0.00 0.00
2011110204 0.00 0.00
2011110205 0.00 0.00
2011110206 0.00 0.00
2011110207 0.00 0.00
2011110208 0.00 0.00
2011110209 0.00 0.00
2011110210 0.00 0.00
2011110211 0.00 0.00
2011110212 0.00 0.00
2011110213 0.00 0.00
2011110214 0.00 0.00
2011110215 0.00 0.00
2011110216 0.00 0.00
2011110217 0.00 0.00
2011110218 0.00 0.00
2011110219 0.00 0.00
2011110220 0.00 0.00
2011110221 0.00 0.00
2011110222 0.00 0.00
2011110223 0.00 0.00
2011110300 0.00 0.00
2011110301 0.00 0.00
2011110302 0.00 0.00
2011110303 0.00 0.00
2011110304 0.00 0.00
2011110305 0.00 0.00
2011110306 0.00 0.00
2011110307 0.00 0.00
2011110308 0.00 0.00
2011110309 0.00 0.00
2011110310 0.00 0.00
2011110311 0.00 0.00
2011110312 0.00 0.00
2011110313 0.00 0.11
2011110314 0.00 0.00
2011110315 0.00 0.01
2011110316 0.00 0.01
2011110317 0.00 0.00
2011110318 0.00 0.00
2011110319 0.00 0.00
2011110320 0.00 0.00
2011110321 0.00 0.00
2011110322 0.00 0.00
2011110323 0.00 0.01
2011110400 0.00 0.02
2011110401 0.00 0.06
2011110402 0.17 0.13
2011110403 0.27 0.33
2011110404 0.00 0.00
2011110405 0.00 0.00
2011110406 0.00 0.00
2011110407 0.00 0.00
2011110408 0.00 0.00
2011110409 0.00 0.00
2011110410 0.00 0.00
2011110411 0.00 0.00
2011110412 0.00 0.00
2011110413 0.00 0.00
2011110414 0.00 0.00
2011110415 0.00 0.00
2011110416 0.00 0.00
2011110417 0.00 0.00
2011110418 0.00 0.02
2011110419 0.00 0.04
2011110420 0.00 0.05
2011110421 0.00 0.00
2011110422 0.00 0.00
2011110423 0.00 0.00
2011110500 0.00 0.06
2011110501 0.00 0.00
2011110502 0.00 0.00
2011110503 0.00 0.00
2011110504 0.00 0.00
2011110505 0.00 0.00
2011110506 0.00 0.00
2011110507 0.00 0.00
2011110508 0.00 0.00
2011110509 0.00 0.00
2011110510 0.00 0.00
2011110511 0.00 0.00
2011110512 0.00 0.00
2011110513 0.00 0.00
2011110514 0.00 0.00
2011110515 0.00 0.00
2011110516 0.00 0.00
2011110517 0.00 0.00
2011110518 0.00 0.00
2011110519 0.00 0.00
2011110520 0.00 0.00
2011110521 0.00 0.00
2011110522 0.00 0.00
2011110523 0.00 0.00
2011110600 0.00 0.00
2011110601 0.00 0.00
2011110602 0.00 0.00
2011110603 0.00 0.00
2011110604 0.00 0.00
2011110605 0.00 0.00
2011110606 0.00 0.00
2011110607 0.00 0.00
2011110608 0.00 0.00
2011110609 0.00 0.00
2011110610 0.00 0.00
2011110611 0.00 0.00
2011110612 0.00 0.00
2011110613 0.00 0.00
2011110614 0.00 0.00
2011110615 0.00 0.00
2011110616 0.00 0.00
2011110617 0.00 0.00
2011110618 0.00 0.00
2011110619 0.00 0.00
2011110620 0.00 0.00
2011110621 0.00 0.00
2011110622 0.00 0.00
2011110623 0.00 0.00
2011110700 0.00 0.00
2011110701 0.00 0.00
2011110702 0.00 0.00
2011110703 0.00 0.00
2011110704 0.00 0.00
2011110705 0.00 0.00
2011110706 0.00 0.00
2011110707 0.00 0.00
2011110708 0.00 0.00
2011110709 0.00 0.00
2011110710 0.00 0.00
2011110711 0.00 0.00
2011110712 0.00 0.00
2011110713 0.00 0.00
2011110714 0.00 0.00
2011110715 0.00 0.00
2011110716 0.00 0.00
2011110717 0.00 0.00
2011110718 0.00 0.00
2011110719 0.00 0.00
2011110720 0.00 0.00
2011110721 0.00 0.00
2011110722 0.00 0.00
2011110723 0.00 0.00
2011110800 0.00 0.00
2011110801 0.00 0.00
2011110802 0.00 0.00
2011110803 0.00 0.00
2011110804 0.00 0.00
2011110805 0.00 0.00
2011110806 0.00 0.00
2011110807 0.00 0.00
2011110808 0.00 0.00
2011110809 0.00 0.00
2011110810 0.00 0.00
2011110811 0.00 0.00
2011110812 0.00 0.00
2011110813 0.00 0.00
2011110814 0.00 0.00
2011110815 0.00 0.00
2011110816 0.00 0.00
2011110817 0.00 0.00
2011110818 0.00 0.00
2011110819 0.00 0.00
2011110820 0.00 0.00
2011110821 0.00 0.00
2011110822 0.00 0.00
2011110823 0.00 0.00
2011110900 0.00 0.00
2011110901 0.00 0.00
2011110902 0.00 0.00
2011110903 0.00 0.00
2011110904 0.00 0.00
2011110905 0.00 0.00
2011110906 0.00 0.00
2011110907 0.00 0.00
2011110908 0.00 0.00
2011110909 0.00 0.00
2011110910 0.00 0.00
2011110911 0.00 0.00
2011110912 0.00 0.00
2011110913 0.00 0.00
2011110914 0.00 0.00
2011110915 0.00 0.00
2011110916 0.00 0.00
2011110917 0.00 0.00
2011110918 0.00 0.00
2011110919 0.00 0.00
2011110920 0.00 0.00
2011110921 0.00 0.00
2011110922 0.00 0.00
2011110923 0.00 0.00
2011111000 0.00 0.00
2011111001 0.00 0.00
2011111002 0.00 0.00
2011111003 0.00 0.00
2011111004 0.00 0.00
2011111005 0.00 0.00
2011111006 0.00 0.00
2011111007 0.00 0.00
2011111008 0.00 0.00
2011111009 0.00 0.00
2011111010 0.00 0.00
2011111011 0.00 0.00
2011111012 0.00 0.00
2011111013 0.00 0.00
2011111014 0.00 0.00
2011111015 0.00 0.00
2011111016 0.00 0.00
2011111017 0.00 0.00
2011111018 0.00 0.00
2011111019 0.00 0.00
2011111020 0.00 0.00
2011111021 0.00 0.00
2011111022 0.00 0.00
2011111023 0.00 0.00
2011111100 0.00 0.00
2011111101 0.00 0.00
2011111102 0.00 0.00
2011111103 0.00 0.00
2011111104 0.00 0.00
2011111105 0.00 0.00
2011111106 0.00 0.00
2011111107 0.00 0.00
2011111108 0.00 0.00
2011111109 0.00 0.00
2011111110 0.00 0.00
2011111111 0.00 0.00
2011111112 0.00 0.00
2011111113 0.00 0.00
2011111114 0.00 0.00
2011111115 0.00 0.00
2011111116 0.00 0.00
2011111117 0.00 0.00
2011111118 0.00 0.00
2011111119 0.00 0.00
2011111120 0.00 0.00
2011111121 0.00 0.00
2011111122 0.00 0.00
2011111123 0.00 0.00
2011111200 0.00 0.00
2011111201 0.00 0.00
2011111202 0.00 0.00
2011111203 0.00 0.00
2011111204 0.00 0.00
2011111205 0.00 0.00
2011111206 0.00 0.00
2011111207 0.00 0.00
2011111208 0.00 0.00
2011111209 0.00 0.00
2011111210 0.00 0.00
2011111211 0.00 0.00
2011111212 0.00 0.00
2011111213 0.00 0.00
2011111214 0.00 0.00
2011111215 0.00 0.00
2011111216 0.00 0.00
2011111217 0.00 0.00
2011111218 0.00 0.00
2011111219 0.00 0.00
2011111220 0.00 0.00
2011111221 0.00 0.00
2011111222 0.00 0.00
2011111223 0.00 0.00
2011111300 0.00 0.00
2011111301 0.00 0.00
2011111302 0.00 0.00
2011111303 0.00 0.00
2011111304 0.00 0.00
2011111305 0.00 0.00
2011111306 0.00 0.00
2011111307 0.00 0.00
2011111308 0.00 0.00
2011111309 0.00 0.00
2011111310 0.00 0.00
2011111311 0.00 0.00
2011111312 0.00 0.00
2011111313 0.00 0.00
2011111314 0.00 0.00
2011111315 0.00 0.00
2011111316 0.00 0.00
2011111317 0.00 0.00
2011111318 0.00 0.00
2011111319 0.00 0.00
2011111320 0.00 0.00
2011111321 0.00 0.00
2011111322 0.00 0.00
2011111323 0.00 0.00
2011111400 0.00 0.00
2011111401 0.00 0.00
2011111402 0.00 0.00
2011111403 0.00 0.00
2011111404 0.00 0.00
2011111405 0.00 0.00
2011111406 0.00 0.00
2011111407 0.00 0.00
2011111408 0.00 0.00
2011111409 0.00 0.00
2011111410 0.00 0.00
2011111411 0.00 0.00
2011111412 0.00 0.00
2011111413 0.00 0.00
2011111414 0.00 0.00
2011111415 0.00 0.00
2011111416 0.00 0.00
2011111417 0.00 0.00
2011111418 0.00 0.00
2011111419 0.00 0.00
2011111420 0.00 0.00
2011111421 0.00 0.00
2011111422 0.00 0.00
2011111423 0.00 0.00
2011111500 0.00 0.00
2011111501 0.00 0.00
2011111502 0.00 0.00
2011111503 0.00 0.00
2011111504 0.00 0.00
2011111505 0.00 0.00
2011111506 0.00 0.00
2011111507 0.00 0.00
2011111508 0.00 0.00
2011111509 0.00 0.00
2011111510 0.00 0.00
2011111511 0.00 0.00
2011111512 0.00 0.00
2011111513 0.00 0.00
2011111514 0.00 0.00
2011111515 0.00 0.00
2011111516 0.00 0.00
2011111517 0.00 0.00
2011111518 0.00 0.00
2011111519 0.00 0.00
2011111520 0.00 0.00
2011111521 0.00 0.00
2011111522 0.00 0.00
2011111523 0.00 0.00
2011111600 0.00 0.00
2011111601 0.00 0.00
2011111602 0.00 0.00
2011111603 0.00 0.00
2011111604 0.00 0.00
2011111605 0.00 0.00
2011111606 0.00 0.00
2011111607 0.00 0.00
2011111608 0.00 0.00
2011111609 0.00 0.00
2011111610 0.00 0.00
2011111611 0.00 0.00
2011111612 0.00 0.00
2011111613 0.00 0.00
2011111614 0.00 0.00
2011111615 0.00 0.00
2011111616 0.00 0.00
2011111617 0.00 0.00
2011111618 0.00 0.00
2011111619 0.00 0.00
2011111620 0.00 0.00
2011111621 0.00 0.00
2011111622 0.00 0.00
2011111623 0.00 0.00
2011111700 0.00 0.00
2011111701 0.00 0.00
2011111702 0.00 0.00
2011111703 0.00 0.00
2011111704 0.00 0.00
2011111705 0.00 0.00
2011111706 0.00 0.00
2011111707 0.00 0.00
2011111708 0.00 0.00
2011111709 0.00 0.00
2011111710 0.00 0.00
2011111711 0.00 0.00
2011111712 0.00 0.00
2011111713 0.00 0.00
2011111714 0.00 0.00
2011111715 0.00 0.00
2011111716 0.00 0.00
2011111717 0.00 0.00
2011111718 0.00 0.00
2011111719 0.00 0.00
2011111720 0.00 0.00
2011111721 0.00 0.00
2011111722 0.00 0.00
2011111723 0.00 0.00
2011111800 0.00 0.00
2011111801 0.00 0.00
2011111802 0.00 0.00
2011111803 0.00 0.00
2011111804 0.00 0.00
2011111805 0.00 0.00
2011111806 0.00 0.00
2011111807 0.00 0.00
2011111808 0.00 0.00
2011111809 0.00 0.00
2011111810 0.00 0.00
2011111811 0.00 0.00
2011111812 0.00 0.00
2011111813 0.00 0.00
2011111814 0.00 0.00
2011111815 0.00 0.00
2011111816 0.00 0.00
2011111817 0.00 0.00
2011111818 0.00 0.00
2011111819 0.00 0.00
2011111820 0.00 0.00
2011111821 0.00 0.00
2011111822 0.00 0.00
2011111823 0.00 0.00
2011111900 0.00 0.00
2011111901 0.00 0.00
2011111902 0.00 0.00
2011111903 0.00 0.00
2011111904 0.00 0.00
2011111905 0.00 0.00
2011111906 0.00 0.00
2011111907 0.00 0.00
2011111908 0.00 0.00
2011111909 0.00 0.00
2011111910 0.00 0.00
2011111911 0.00 0.00
2011111912 0.00 0.00
2011111913 0.00 0.00
2011111914 0.00 0.00
