"d" "date" "P" "ETpot" "Qobs" "fXG" "fXS" "hSmin" "Gobs" "ETact" "Q" "fVG" "fGS" "fQS" "dSM" "dSMeq" "dG" "hS" "hQ" "W"
1320102000 20111031230000 NA NA NA NA NA 0 0 NA 0.0094 NA NA NA 211.02 211.02 1156.3 93.05 0 0.3559
1320105600 20111101000000 0 0 0.0094 0 0 0 0 0 0.0094 0 0.0172 0 211.03 211.02 1156.3 93.83 0 0.3559
1320109200 20111101010000 0 0 0.0094 0 0 0 0 0 0.0095 -0.0835 0.0172 0 211.05 211.04 1156.39 94.59 0 0.3558
1320112800 20111101020000 0 0 0.0094 0 0 0 0 0 0.0097 -0.0616 0.0171 0 211.07 211.05 1156.45 95.34 0 0.3557
1320116400 20111101030000 0 0 0.0094 0 0 0 0 0 0.0098 -0.067 0.0171 0 211.08 211.07 1156.52 96.06 0 0.3556
1320120000 20111101040000 0 0 0.0094 0 0 0 0 0 0.0099 -0.0653 0.017 0 211.1 211.09 1156.58 96.77 0 0.3556
1320123600 20111101050000 0 0 0.0094 0 0 0 0 0 0.0101 -0.0655 0.0169 0 211.12 211.11 1156.65 97.46 0 0.3555
1320127200 20111101060000 0 0.0047 0.0094 0 0 0 0 0.0046 0.0102 -0.0652 0.0169 0 211.14 211.12 1156.71 98.12 0 0.3554
1320130800 20111101070000 0 0.0441 0.0094 0 0 0 0 0.0431 0.0103 -0.087 0.0168 0 211.2 211.15 1156.8 98.73 0 0.3552
1320134400 20111101080000 0 0.1024 0.0094 0 0 0 0 0.1001 0.0104 -0.266 0.0168 0 211.32 211.22 1157.07 99.26 0 0.3547
1320138000 20111101090000 0 0.134 0.0094 0 0 0 0 0.131 0.0105 -0.4929 0.0167 0 211.47 211.34 1157.57 99.75 0 0.354
1320141600 20111101100000 0 0.197 0.0094 0 0 0 0 0.1926 0.0106 -0.582 0.0166 0 211.68 211.5 1158.16 100.15 0 0.3532
1320145200 20111101110000 0 0.1938 0.0094 0 0 0 0 0.1895 0.0107 -0.8539 0.0165 0 211.88 211.72 1159.02 100.54 0 0.3523
1320148800 20111101120000 0 0.1828 0.0094 0 0 0 0 0.1787 0.0108 -0.7677 0.0164 0 212.08 211.92 1159.79 100.92 0 0.3515
1320152400 20111101130000 0 0.1466 0.0094 0 0 0 0 0.1433 0.0108 -0.7376 0.0163 0 212.24 212.12 1160.54 101.32 0 0.3508
1320156000 20111101140000 0 0.0804 0.0089 0 0 0 0 0.0786 0.0109 -0.5748 0.0162 0 212.33 212.27 1161.12 101.77 0 0.3504
1320159600 20111101150000 0 0.0142 0.0089 0 0 0 0 0.0139 0.011 -0.306 0.0161 0 212.36 212.35 1161.43 102.26 0 0.3503
1320163200 20111101160000 0 0 0.0089 0 0 0 0 0 0.0111 -0.0649 0.016 0 212.38 212.36 1161.49 102.75 0 0.3502
1320166800 20111101170000 0 0 0.0094 0 0 0 0 0 0.0112 -0.0607 0.016 0 212.39 212.38 1161.56 103.23 0 0.3501
1320170400 20111101180000 0 0 0.0089 0 0 0 0 0 0.0113 -0.0616 0.0159 0 212.41 212.4 1161.62 103.7 0 0.3501
1320174000 20111101190000 0 0 0.0089 0 0 0 0 0 0.0114 -0.0612 0.0159 0 212.43 212.41 1161.68 104.15 0 0.35
1320177600 20111101200000 0 0 0.0089 0 0 0 0 0 0.0114 -0.0611 0.0158 0 212.44 212.43 1161.74 104.59 0 0.3499
1320181200 20111101210000 0.3 0 0.0089 0 0 0 0 0 0.0115 -0.0609 0.0158 0 212.26 212.44 1161.8 105.32 0.1 0.3507
1320184800 20111101220000 0.2 0 0.0094 0 0 0 0 0 0.0117 0.8752 0.0158 0.032 212.15 212.22 1160.92 109.13 0.14 0.3512
1320188400 20111101230000 0 0 0.0094 0 0 0 0 0 0.0124 0.3192 0.0156 0.0436 212.16 212.13 1160.6 113.8 0.1 0.3511
1320192000 20111102000000 0 0 0.0089 0 0 0 0 0 0.0134 -0.1586 0.0153 0.0301 212.18 212.17 1160.76 117.01 0.07 0.351
1320195600 20111102010000 0 0 0.0089 0 0 0 0 0 0.014 -0.033 0.0151 0.0208 212.2 212.18 1160.79 119.2 0.05 0.351
1320199200 20111102020000 0 0 0.0089 0 0 0 0 0 0.0145 -0.0645 0.0149 0.0144 212.21 212.2 1160.85 120.68 0.03 0.3509
1320202800 20111102030000 0 0 0.0089 0 0 0 0 0 0.0148 -0.0556 0.0148 0.01 212.23 212.21 1160.91 121.68 0.02 0.3508
1320206400 20111102040000 0 0 0.0089 0 0 0 0 0 0.015 -0.0574 0.0147 0.0069 212.24 212.23 1160.97 122.34 0.02 0.3508
1320210000 20111102050000 0 0 0.0089 0 0 0 0 0 0.0152 -0.0566 0.0147 0.0048 212.25 212.24 1161.03 122.77 0.01 0.3507
